id,brand,model,name,category,subcategory,confidenceScore,screenSize,resolution,panelType,refreshRate,hdr,hdrFormats,brightness,contrastRatio,platform,os,processor,voiceAssistants,wifi,bluetooth,hdmiPorts,hdmiSpec,usbPorts,ethernet,casting,audioOutput,audioTech,priceMin,priceMax,priceTypical,warranty,productRole,marginBehavior,discountSensitivity,bundleEligibility,bundleRole,competitivePosition,seasonalRelevance,targetAudience,sellingAngles,hooks,benefits_dz,ramadanAngle,comparisons,alternatives,upgradeFrom,upgradeTo
GN-G50EXL4K,Geant,GN-G50EXL4K,Geant 50" 4K Google TV,TV,Smart TV,72,50,4K UHD,LED,60Hz,true,HDR10,300 cd/m²,5000:1,Google TV,Google TV,,,true,true,3,,2,true,Chromecast,20W,Dolby Audio,,,,,core,standard,medium,true,anchor,value-sweet-spot,ramadan;year-round,families,50" 4K Google TV Geant;Best value 50",50" 4K Smart — Geant value champion!,50 بوصة 4K بسعر محلي;Google TV + Chromecast;جيون ضمان محلي,50" 4K for Ramadan family viewing,GN-G43EXL4K:downgrade,A50S1:ARTCOOL VIDAA 50";UA50AU7000:Samsung Crystal 50",GN-G43EXL4K,GN-G55EXL4K;GN-G65EXL4K
GN-G55EXL4K,Geant,GN-G55EXL4K,Geant 55" 4K Google TV,TV,Smart TV,72,55,4K UHD,LED,60Hz,true,HDR10;HDR10+,350 cd/m²,5000:1,Google TV,Google TV,,,true,true,3,,2,true,Chromecast,20W,Dolby Audio,,,,,premium,standard,medium,true,anchor,value-sweet-spot,ramadan,families;premium-seekers,55" 4K HDR10+ from Geant;Premium at local price,55" 4K HDR10+ — Geant goes premium!,55 بوصة HDR10+ — جيون بريميوم;ألوان سينمائية;سعر محلي يغلب الماركات,55" premium for Ramadan nights,GN-G50EXL4K:downgrade;GN-G65EXL4K:upgrade,A55S1:ARTCOOL Dolby Vision 55";55AU7000:Samsung Crystal 55",GN-G50EXL4K,GN-G65EXL4K
GN-G65EXL4K,Geant,GN-G65EXL4K,Geant 65" 4K Google TV,TV,Smart TV,72,65,4K UHD,LED,60Hz,true,HDR10;HDR10+,350 cd/m²,5000:1,Google TV,Google TV,,,true,true,3,,2,true,Chromecast,24W,Dolby Audio;DTS,,,,,premium,high-margin,low,true,anchor,value-sweet-spot,ramadan,premium-seekers,65" 4K Google TV flagship Geant;Biggest local 4K,65" 4K — the Geant flagship!,65 بوصة — سينما الدار;Google TV + HDR10+;أكبر شاشة جيون,The ultimate 65" for Ramadan prestige,,A65S1:ARTCOOL QLED 65",GN-G55EXL4K,
GN-G75EXL4K,Geant,GN-G75EXL4K,Geant 75" 4K Google TV,TV,Smart TV,65,75,4K UHD,LED,60Hz,true,HDR10;HDR10+,400 cd/m²,6000:1,Google TV,Google TV,,,true,true,4,,2,true,Chromecast,30W,Dolby Audio;DTS,,,,,upsell,high-margin,low,false,,differentiator,ramadan,premium-seekers;cinephiles,75" — the biggest local 4K;Statement piece,75" 4K — only Geant dares!,75 بوصة — أكبر شاشة في السوق;4K HDR10+ سينما حقيقية;جيون الوحيد يدير 75,75" ultimate cinema for Ramadan,,,,GN-G65EXL4K,
43A4G,Hisense,43A4G,Hisense 43" Full HD VIDAA TV,TV,Smart TV,80,43,Full HD,LED,60Hz,true,HDR10,250 cd/m²,4000:1,VIDAA,VIDAA,,,true,true,3,,2,true,,16W,DTS Virtual:X,,,,,core,standard,medium,true,anchor,value-sweet-spot,ramadan;year-round,families,International brand 43" VIDAA;Hisense quality guarantee,Hisense quality — global brand price!,هايسنس ماركة عالمية;VIDAA سهل بزاف;43 بوصة HDR10,Hisense family TV for Ramadan,A43S1:same-tier,S5400A:TCL Google TV 43";MS43FAT1:Multismart Android 43",,
58A6K,Hisense,58A6K,Hisense 58" 4K VIDAA TV,TV,Smart TV,82,58,4K UHD,LED,60Hz,true,HDR10;Dolby Vision;HLG,350 cd/m²,5000:1,VIDAA,VIDAA,,Google Assistant,true,true,3,,2,true,AirPlay 2,20W,DTS Virtual:X;Dolby Audio,,,,,premium,standard,low,true,anchor,premium-tier,ramadan,premium-seekers;families,58" 4K Dolby Vision — unique size;Hisense premium quality,58" 4K Dolby Vision — size nobody else has!,58 بوصة — حجم فريد;Dolby Vision + AirPlay 2;هايسنس جودة مضمونة,Hisense 58" — unique premium for Ramadan,A55S1:same-tier,55AU7000:Samsung Crystal 55";55P635:TCL 55" Google TV,43A4G,
32E30,IRIS,32E30,IRIS 32" LED TV,TV,LED TV,55,32,HD Ready,LED,60Hz,false,,200 cd/m²,3000:1,,,,,false,false,2,,1,false,,10W,Stereo,,,,,entry,volume-play,high,false,,price-leader,year-round,budget-buyers,Cheapest IRIS 32";Simple basic,Budget 32" from IRIS!,أرخص تلفزيون IRIS;بسيط اقتصادي;IRIS ماركة جزائرية,,,,, 32C3010
43E30,IRIS,43E30,IRIS 43" LED TV,TV,LED TV,55,43,Full HD,LED,60Hz,false,,250 cd/m²,3000:1,,,,,false,false,2,,1,false,,16W,Stereo,,,,,entry,volume-play,high,false,,price-leader,year-round,budget-buyers;families,43-inch basic LED;IRIS value,43" Full HD — IRIS basic value!,43 بوصة بسعر IRIS;Full HD واضح;بسيط بلا تعقيد,,,,32E30,C3020
32C3010,IRIS,32C3010,IRIS 32" Smart Android TV,TV,Smart TV,58,32,HD Ready,LED,60Hz,false,,200 cd/m²,3000:1,Android 11,Android 11,,,true,false,2,,1,false,,16W,Stereo,,,,,entry,unknown,high,true,anchor,price-leader,year-round,budget-buyers,32" Smart Android at IRIS price;Google Play,Android Smart TV — IRIS price!,أندرويد بسعر IRIS;Google Play Store;سمارت اقتصادي,,MS32HAS1:same-tier,A32S1:ARTCOOL VIDAA 32",,C3020
C3020,IRIS,C3020,IRIS 40" Full HD Smart TV,TV,Smart TV,58,40,Full HD,LED,60Hz,false,,250 cd/m²,3500:1,Android,Android,,,true,false,2,,1,false,,20W,Stereo,,,,,core,unknown,medium,true,anchor,price-leader,year-round,families;budget-buyers,40-inch Full HD Smart TV;Powerful 20W audio,Smart TV at IRIS price!,سمارت بسعر IRIS;صوت قوي 20 واط;40 بوصة للصالون,,,40SG630:Condor Google TV 40",32C3010;43E30,
MS32HAS1,Multismart,MS32HAS1,Multismart 32" Android TV 14,TV,Smart TV,65,32,HD Ready,LED,60Hz,false,,200 cd/m²,3000:1,Android TV 14,Android 14,,Google Assistant,true,true,2,,2,false,Chromecast,10W,Stereo,,,,,entry,unknown,high,true,anchor,price-leader,year-round,budget-buyers,Android 14 at entry price;Google Play Store access,Android 14 TV at lowest price!,Android 14 أحدث نظام;Google Play Store فيه كلش;سعر مناسب بزاف,,MS32HAS4:same-tier,S32MS:Cristor Android 32";A32S1:ARTCOOL VIDAA 32",,MS43FAT1
MS32HAS4,Multismart,MS32HAS4,Multismart 32" Google TV,TV,Smart TV,62,32,HD Ready,LED,60Hz,false,,200 cd/m²,3000:1,Google TV (Android 11),Android 11,,Google Assistant,true,true,2,,1,false,Chromecast,12W,Stereo,,,,,entry,unknown,high,true,anchor,price-leader,year-round,budget-buyers,Google TV interface;Chromecast built-in,Google TV for under budget!,Google TV واجهة سهلة;Chromecast مدمج;سعر مناسب,,MS32HAS1:same-tier,S32MS:Cristor Android 32",,MS43FAT1
MS40FAT4,Multismart,MS40FAT4,Multismart 40" LED TV,TV,LED TV,58,40,Full HD,LED,60Hz,false,,250 cd/m²,3000:1,,,,,false,false,2,,1,false,,16W,Stereo,,,,,entry,volume-play,high,false,,price-leader,year-round,budget-buyers,Budget 40-inch Full HD;Simple basic TV,40" Full HD — budget price!,شاشة كبيرة بسعر صغير;Full HD واضح;بسيط بلا تعقيد,,,GN-TE42FHD:Geant 42" LED,,MS43FAT1
MS43FAT1,Multismart,MS43FAT1,Multismart 43" Android TV 14,TV,Smart TV,65,43,Full HD,LED,60Hz,false,,250 cd/m²,4000:1,Android TV 14,Android 14,,Google Assistant,true,true,2,,1,false,Chromecast,16W,Stereo,,,,,core,unknown,medium,true,anchor,value-sweet-spot,ramadan;year-round,families,43-inch Android 14 Smart TV;Full HD + Chromecast,Android 14 family TV!,Android 14 للعايلة;Chromecast + Google Play;43 بوصة مناسبة للصالون,Smart family TV for Ramadan,,A43S1:ARTCOOL VIDAA 43";S5400A:TCL Google TV 43",MS32HAS1;MS32HAS4;MS40FAT4,MS50UAT
MS50UAT,Multismart,MS50UAT,Multismart 50" 4K WebOS TV,TV,Smart TV,65,50,4K UHD,LED,60Hz,true,HDR10,300 cd/m²,5000:1,WebOS,WebOS,,,true,false,3,,2,true,,20W,Dolby Audio,,,,,core,unknown,medium,true,anchor,value-sweet-spot,ramadan;year-round,families,4K WebOS at local price;HDR10 + Dolby Audio,4K WebOS TV — local brand price!,4K بسعر محلي;WebOS سهل الاستعمال;HDR10 ألوان حية,4K for Ramadan viewing,MS65UAG3:upgrade,A50S1:ARTCOOL VIDAA 50";UA50AU7000:Samsung Crystal 50",MS43FAT1,MS65UAG3;MS-65UAS2
MS65UAG3,Multismart,MS65UAG3,Multismart 65" 4K Google TV,TV,Smart TV,68,65,4K UHD,LED,60Hz,true,HDR10,350 cd/m²,5000:1,Google TV,Google TV,,Google Assistant,true,true,3,,2,true,Chromecast,20W,Dolby Audio,,,,,premium,high-margin,low,true,anchor,value-sweet-spot,ramadan,premium-seekers;families,65" 4K Google TV at local price;Chromecast + Google Assistant,65" 4K Google TV — local brand pricing!,65 بوصة 4K — سينما فدارك;Google TV فيه كل التطبيقات;سعر محلي مقابل ماركة عالمية,65" for the ultimate Ramadan family setup,MS-65UAS2:same-tier,A65S1:ARTCOOL VIDAA 65",MS50UAT,
MS-32HAT2,Multismart,MS-32HAT2,Multismart 32" LED Basic TV,TV,LED TV,55,32,HD Ready,LED,60Hz,false,,200 cd/m²,3000:1,,,,,false,false,2,,1,false,,16W,Stereo,,,,,entry,volume-play,high,false,,price-leader,year-round,budget-buyers,Cheapest 32-inch option;16W decent audio,Budget 32" TV!,أرخص تلفزيون 32;صوت 16 واط مقبول;بسيط و اقتصادي,,,32E30:IRIS 32" LED;GN-32LDJHD-N:Geant 32" LED,,MS32HAS1
MS-65UAS2,Multismart,MS-65UAS2,Multismart 65" 4K Android TV,TV,Smart TV,65,65,4K UHD,LED,60Hz,true,HDR10,350 cd/m²,5000:1,Android 11,Android 11,,Google Assistant,true,true,3,,2,true,Chromecast,20W,Dolby Audio,,,,,premium,high-margin,low,true,anchor,value-sweet-spot,ramadan,premium-seekers,65" 4K Android TV;Google Play Store + Chromecast,65" Android 4K — local price!,65 بوصة أندرويد;Google Play فيه كلش;4K + HDR ألوان رائعة,Premium Ramadan screen,MS65UAG3:same-tier,A65S1:ARTCOOL 65" VIDAA,MS50UAT,
UA50AU7000,Samsung,UA50AU7000,Samsung 50" Crystal UHD 4K,TV,Smart TV,90,50,4K UHD,LED,60Hz,true,HDR10;HDR10+;HLG,300 cd/m²,5000:1,Tizen,Tizen,Crystal 4K Processor,Bixby;Alexa;Google Assistant,true,true,3,HDMI 2.0,1,true,AirPlay 2;SmartThings,20W,Adaptive Sound;Q-Symphony,,,,,premium,high-margin,low,true,anchor,premium-tier,ramadan;year-round,premium-seekers;families,Samsung Crystal 4K Processor;Triple voice assistant;SmartThings ecosystem,Samsung Crystal 4K — the name says it all!,Samsung — الماركة رقم واحد;Crystal 4K صورة خيالية;3 مساعدين صوتيين;AirPlay من الآيفون,Samsung quality for Ramadan prestige,55AU7000:upgrade,A50S1:ARTCOOL 50" budget option;GN-G50EXL4K:Geant 50" Google TV local,,55AU7000
55AU7000,Samsung,55AU7000,Samsung 55" Crystal UHD 4K,TV,Smart TV,90,55,4K UHD,LED,60Hz,true,HDR10;HDR10+;HLG,300 cd/m²,5000:1,Tizen,Tizen,Crystal 4K Processor,Bixby;Alexa;Google Assistant,true,true,3,HDMI 2.0,1,true,AirPlay 2;SmartThings,20W,Adaptive Sound;Q-Symphony,,,,,premium,high-margin,low,true,anchor,premium-tier,ramadan;year-round,premium-seekers;gamers,55" Samsung Crystal 4K;Premium ecosystem;Game Mode,Samsung 55" Crystal 4K — premium redefined!,55 بوصة Samsung — الأفضل;HDR10+ ألوان سينمائية;SmartThings للتحكم بالدار;ضمان سنتين,Samsung 55" — the premium Ramadan choice,UA50AU7000:downgrade,A55S1:ARTCOOL 55" Dolby Vision;55P635:TCL 55" Google TV,UA50AU7000,
32D3200,TCL,32D3200,TCL 32" LED TV,TV,LED TV,75,32,HD Ready,LED,60Hz,false,,200 cd/m²,3000:1,,,,,false,false,2,,1,false,,10W,Stereo,,,,,entry,volume-play,high,false,,price-leader,year-round,budget-buyers,TCL international quality at budget;Simple reliable TV,TCL 32" — international quality!,ماركة عالمية بسعر محلي;بسيط وموثوق;TCL جودة مضمونة,,,32E30:IRIS 32" LED;GN-32LDJHD-N:Geant 32" LED,,S5400A
55P635,TCL,55P635,TCL 55" 4K Google TV,TV,Smart TV,82,55,4K UHD,LED,60Hz,true,HDR10;Dolby Vision;HLG,300 cd/m²,5000:1,Google TV (Android 11),Android 11,,Google Assistant,true,true,3,HDMI 2.1,1,true,Chromecast,20W,Dolby Audio,,,,,core,standard,medium,true,anchor,value-sweet-spot,ramadan;year-round,families;gamers,55" Dolby Vision + HDMI 2.1;Google TV international brand;Great value 4K,55" 4K Dolby Vision + HDMI 2.1 — TCL value king!,Dolby Vision ألوان سينمائية;HDMI 2.1 للقيمنق;Google TV فيه كلش;TCL جودة عالمية بسعر مناسب,TCL 55" — cinema quality for Ramadan nights,,A55S1:ARTCOOL Dolby Vision 55";55AU7000:Samsung Crystal 55",S5400A;32D3200,
S5400A,TCL,S5400A,TCL 43" Full HD Google TV,TV,Smart TV,78,43,Full HD,LED,60Hz,true,HDR10,250 cd/m²,4000:1,Google TV (Android 11),Android 11,,Google Assistant,true,true,2,,1,true,Chromecast,16W,Dolby Audio,,,,,core,standard,medium,true,anchor,value-sweet-spot,ramadan;year-round,families,TCL Google TV at 43";International brand + HDR10,TCL 43" Google TV — global quality!,TCL ماركة عالمية;Google TV واجهة سهلة;Chromecast + Dolby Audio;ضمان سنتين,Smart family TV for Ramadan,55P635:upgrade,43A4G:Hisense VIDAA 43";A43S1:ARTCOOL VIDAA 43",32D3200,55P635
